"","name","r","dis","asian","black","hispanic","multi","natam","pacisl","white"
"44","Bladensburg Elementary School",2,"Prince George's County Public Schools",2.29555,31.9943,62.5538,2.00861,0.286944,0.143472,0.71736
"45","Bond Mill Elementary School",8,"Prince George's County Public Schools",8.061,46.6231,15.6863,6.31808,0.43573,0.217865,22.658
"46","Bradbury Heights Elementary School",1,"Prince George's County Public Schools",0.742115,89.6104,5.93692,0.927644,1.11317,0.742115,0.927644
"47","Brandywine Elementary School",5,"Prince George's County Public Schools",0.902527,78.1588,12.0939,3.79061,0,0,5.05415
"48","Richard Henry Lee Elementary School",5,"Anne Arundel County Public Schools",3.41365,20.4819,11.4458,6.4257,0.200803,0.401606,57.6305
"49","Calverton Elementary School",3,"Prince George's County Public Schools",6.35538,45.7847,40.9857,1.55642,0.259403,0.648508,4.40986
"50","Capitol Heights Elementary School",7,"Prince George's County Public Schools",0,88.5057,8.04598,2.29885,0,0,1.14943
"51","Carmody Hills Elementary School",2,"Prince George's County Public Schools",0.27248,89.6458,7.90191,0.817439,0.817439,0.544959,0
"52","Carole Highlands Elementary School",2,"Prince George's County Public Schools",1.73913,32.6087,55.942,0.144928,1.15942,0,8.4058
"53","Carrollton Elementary School",5,"Prince George's County Public Schools",2.00334,45.0751,51.419,0.500835,0,0,1.00167
"54","Catherine T. Reed Elementary School",4,"Prince George's County Public Schools",3.0445,78.4543,14.5199,1.40515,0.468384,0.234192,1.87354
"55","Ridgeway Elementary School",9,"Anne Arundel County Public Schools",5.6239,13.0053,8.26011,5.6239,0,0,67.4868
"56","Cherokee Lane Elementary School",5,"Prince George's County Public Schools",7.04225,23.7089,64.554,0.469484,0.234742,0,3.99061
"57","Chillum Elementary School",4,"Prince George's County Public Schools",0.909091,45.1515,43.6364,1.21212,2.72727,0.606061,5.75758
"58","Clinton Grove Elementary School",1,"Prince George's County Public Schools",1.35501,83.7398,8.40108,2.43902,0.271003,0,3.79404
"59","Columbia Park Elementary School",2,"Prince George's County Public Schools",0.217865,76.4706,22.658,0.217865,0,0.217865,0.217865
"60","Concord Elementary School",2,"Prince George's County Public Schools",0.623053,91.2773,4.98442,1.55763,0,0.623053,0.934579
"61","Cooper Lane Elementary School",2,"Prince George's County Public Schools",1.14155,44.5205,50.4566,0.684932,0.22831,0.22831,2.73973
"62","Deerfield Run Elementary School",3,"Prince George's County Public Schools",2.61438,70.4248,20.4248,1.14379,0.326797,0.653595,4.41176
"63","District Heights Elementary School",2,"Prince George's County Public Schools",0.217391,92.8261,5.43478,1.52174,0,0,0
"64","Rippling Woods Elementary School",6,"Anne Arundel County Public Schools",3.62776,35.489,11.5142,9.46372,0.157729,0.157729,39.5899
"65","Doswell E. Brooks Elementary School",4,"Prince George's County Public Schools",1.78571,93.3036,3.57143,1.33929,0,0,0
"66","Flintstone Elementary School",2,"Prince George's County Public Schools",3.9886,54.416,37.8917,0.2849,1.7094,0.569801,1.1396
"67","Forest Heights Elementary School",1,"Prince George's County Public Schools",1.60643,79.1165,17.2691,0.803213,0.803213,0,0.401606
"68","Fort Foote Elementary School",4,"Prince George's County Public Schools",9.35829,60.6952,19.5187,4.27807,2.13904,0.26738,3.74332
"69","Riviera Beach Elementary School",7,"Anne Arundel County Public Schools",0.682594,2.38908,2.73038,4.43686,0,0,89.7611
"70","Francis T. Evans Elementary School",6,"Prince George's County Public Schools",1.19048,71.1905,5.95238,2.14286,0.952381,2.85714,15.7143
"71","Fort Washington Forest Elementary School",3,"Prince George's County Public Schools",2.7668,77.4704,10.6719,5.13834,0,0,3.95257
"72","Gaywood Elementary School",2,"Prince George's County Public Schools",2.02703,37.6126,48.8739,1.57658,0.675676,0.225225,9.00901
"73","Glassmanor Elementary School",4,"Prince George's County Public Schools",0.41841,85.7741,10.8787,1.67364,0.83682,0,0.41841
"74","Glenarden Woods Elementary School",10,"Prince George's County Public Schools",6.35593,71.3983,12.9237,3.81356,0.423729,0.635593,4.44915
"75","Francis Scott Key Elementary School",2,"Prince George's County Public Schools",1.15163,89.0595,7.67754,1.72745,0.191939,0,0.191939
"76","Heather Hills Elementary School",10,"Prince George's County Public Schools",6.6313,65.7825,5.03979,7.1618,0.265252,0.265252,14.8541
"77","High Bridge Elementary School",3,"Prince George's County Public Schools",3.58852,73.2057,12.201,2.63158,0.956938,0.239234,7.17703
"78","Severn Elementary School",7,"Anne Arundel County Public Schools",6.20843,47.2284,11.7517,6.20843,0,0.221729,28.3814
"79","Hillcrest Heights Elementary School",2,"Prince George's County Public Schools",0,89.9142,7.72532,0.858369,0,0.214592,1.28755
"80","Hollywood Elementary School",6,"Prince George's County Public Schools",8.81057,17.4009,56.6079,2.20264,1.32159,0.660793,12.9956
"81","Hollywood Elementary School",8,"Prince George's County Public Schools",8.81057,17.4009,56.6079,2.20264,1.32159,0.660793,12.9956
"82","Hyattsville Elementary School",2,"Prince George's County Public Schools",2.33918,32.1637,50.0975,3.31384,0.974659,0.194932,10.9162
"83","Indian Queen Elementary School",3,"Prince George's County Public Schools",9.77199,62.5407,20.5212,5.21173,1.30293,0,0.651466
"84","J. Frank Dent Elementary School",3,"Prince George's County Public Schools",2,86,10.4,0.8,0,0,0.8
"85","James H. Harrison Elementary School",4,"Prince George's County Public Schools",7.41935,54.1936,30.3226,1.93548,0,0,6.12903
"86","James Mchenry Elementary School",1,"Prince George's County Public Schools",1.16618,46.9388,44.4606,0.437318,1.45773,1.02041,4.51895
"87","James Mchenry Elementary School",1,"Baltimore City Public Schools",0,96.3158,1.31579,0.526316,0,0,1.84211
"88","James Mchenry Elementary School",3,"Prince George's County Public Schools",1.16618,46.9388,44.4606,0.437318,1.45773,1.02041,4.51895
"89","James Mchenry Elementary School",3,"Baltimore City Public Schools",0,96.3158,1.31579,0.526316,0,0,1.84211
"90","James Ryder Randall Elementary School",6,"Prince George's County Public Schools",2.34192,78.2201,12.6464,0.468384,0.234192,0.234192,5.8548
"91","John H. Bayne Elementary School",4,"Prince George's County Public Schools",0,93.0435,5.43478,1.30435,0,0.217391,0
"92","Kenilworth Elementary School",6,"Prince George's County Public Schools",1.5544,38.8601,14.5078,6.73575,0.777202,0.518135,37.0466
"93","Kenmoor Elementary School",4,"Prince George's County Public Schools",1.22249,88.9976,7.09046,1.46699,0,0,1.22249
"94","Kettering Elementary School",4,"Prince George's County Public Schools",0.917431,96.0245,0.611621,2.14067,0,0,0.30581
"95","Lamont Elementary School",4,"Prince George's County Public Schools",3.93836,33.7329,57.8767,1.71233,0.342466,0,2.39726
"96","Langley Park/Mccormick Elementary School",4,"Prince George's County Public Schools",0.487805,6.50407,81.1382,0,10.7317,0,1.13821
"97","Laurel Elementary School",3,"Prince George's County Public Schools",4.43686,39.7611,43.8567,3.24232,0.170648,0,8.53242
"98","Lewisdale Elementary School",6,"Prince George's County Public Schools",2.09895,12.1439,82.6087,0.449775,1.04948,0,1.64918
"99","Longfields Elementary School",4,"Prince George's County Public Schools",0,84.6535,8.91089,4.20792,0.49505,0.990099,0.742574
"100","Magnolia Elementary School",4,"Prince George's County Public Schools",4.5929,76.4092,13.7787,0.626305,0.417537,0.417537,3.75783
"101","Marlton Elementary School",6,"Prince George's County Public Schools",1.1655,87.4126,3.7296,4.662,0.2331,0.2331,2.5641
"102","Mattaponi Elementary School",7,"Prince George's County Public Schools",0.771208,85.09,3.08483,6.42674,0.771208,0,3.85604
"103","Melwood Elementary School",4,"Prince George's County Public Schools",2.17865,80.61,11.329,1.74292,0,0,4.13943
"104","Montpelier Elementary School",6,"Prince George's County Public Schools",1.84615,74.6154,15.5385,4.30769,0.461538,0.153846,3.07692
"105","Mt Rainier Elementary School",3,"Prince George's County Public Schools",3.16623,28.2322,56.4644,1.05541,0.263852,1.84697,8.97098
"106","North Forestville Elementary School",2,"Prince George's County Public Schools",0.293255,86.217,9.38416,2.6393,0,0.293255,1.17302
"107","Oakcrest Elementary School",4,"Prince George's County Public Schools",0.990099,80.6931,12.8713,0.742574,1.23762,0,3.46535
"108","Oakcrest Elementary School",5,"Prince George's County Public Schools",0.990099,80.6931,12.8713,0.742574,1.23762,0,3.46535
"109","Oaklands Elementary School",4,"Prince George's County Public Schools",3.38983,61.9855,27.6029,3.63196,0.242131,0,3.1477
"110","Overlook Elementary School",2,"Anne Arundel County Public Schools",8.43373,11.6466,6.4257,8.43373,0.803213,0.401606,63.8554
"111","Overlook Elementary School",2,"Prince George's County Public Schools",0.724638,86.9565,9.42029,1.81159,0.724638,0,0.362319
"112","Overlook Elementary School",8,"Anne Arundel County Public Schools",8.43373,11.6466,6.4257,8.43373,0.803213,0.401606,63.8554
"113","Overlook Elementary School",8,"Prince George's County Public Schools",0.724638,86.9565,9.42029,1.81159,0.724638,0,0.362319
"114","Oxon Hill Elementary School",2,"Prince George's County Public Schools",10,64.1176,21.1765,2.35294,0.294118,1.17647,0.882353
"115","Paint Branch Elementary School",5,"Prince George's County Public Schools",6.41975,38.7654,39.5062,2.96296,1.7284,0,10.6173
"116","Patuxent Elementary School",4,"Prince George's County Public Schools",1.92308,88.141,4.80769,3.52564,0.320513,0,1.28205
"117","Patuxent Elementary School",6,"Prince George's County Public Schools",1.92308,88.141,4.80769,3.52564,0.320513,0,1.28205
"118","Phyllis E. Williams Elementary School",3,"Prince George's County Public Schools",0.833333,93.8889,2.77778,1.38889,0.277778,0,0.833333
"119","Pointer Ridge Elementary School",4,"Prince George's County Public Schools",3.11111,77.7778,8.66667,4.44444,0.444444,0,5.55556
"120","Potomac Landing Elementary School",5,"Prince George's County Public Schools",4.33839,79.6095,10.4121,3.03688,0.21692,0.21692,2.1692
"121","Princeton Elementary School",3,"Prince George's County Public Schools",0.735294,68.3824,23.2843,2.20588,0.735294,0,4.65686
"122","Ridgecrest Elementary School",2,"Prince George's County Public Schools",0.298954,34.6786,60.0897,0.298954,2.09268,0.149477,2.39163
"123","Riverdale Elementary School",2,"Prince George's County Public Schools",1.1811,16.4042,76.1155,0.656168,1.9685,0.262467,3.41207
"124","Robert Frost Elementary School",6,"Prince George's County Public Schools",4.62633,46.9751,44.484,0.711744,0,0,3.20285
"125","Solley Elementary School",7,"Anne Arundel County Public Schools",3.05344,7.0229,9.00763,7.17557,0.305344,0.152672,73.2824
"126","Rockledge Elementary School",6,"Prince George's County Public Schools",6.39535,60.0775,14.9225,5.81395,0,0.193798,12.5969
"127","Rogers Heights Elementary School",2,"Prince George's County Public Schools",2.88625,12.3939,80.4754,0.679117,0.509338,0.169779,2.88625
"128","Rose Valley Elementary School",3,"Prince George's County Public Schools",4.46194,75.3281,16.273,1.83727,0.524934,0,1.5748
"129","Samuel Chase Elementary School",5,"Prince George's County Public Schools",1.26582,83.5443,11.0759,2.21519,0.316456,0.632911,0.949367
"130","Seabrook Elementary School",7,"Prince George's County Public Schools",4.8048,51.6517,35.4354,1.2012,1.8018,0,5.1051
"131","Seat Pleasant Elementary School",3,"Prince George's County Public Schools",0.314465,85.5346,12.2642,0.943396,0,0.628931,0.314465
"132","Skyline Elementary School",3,"Prince George's County Public Schools",2.95359,89.8734,5.06329,1.26582,0.421941,0,0.421941
"133","Springhill Lake Elementary School",2,"Prince George's County Public Schools",2.05128,46.8376,47.6923,0.683761,0.34188,0,2.39316
"134","Tayac Elementary School",3,"Prince George's County Public Schools",2.18447,79.6116,14.0777,1.69903,0.728155,0.242718,1.45631
"135","Templeton Elementary School",2,"Prince George's County Public Schools",5.48589,27.7429,60.6583,0.626959,1.25392,1.25392,2.97806
"136","Thomas Claggett Elementary School",1,"Prince George's County Public Schools",0.390625,84.7656,10.9375,1.17188,0.390625,0,2.34375
"137","Thomas G. Pullen School",7,"Prince George's County Public Schools",0.554017,90.1662,4.84765,3.1856,0.277008,0.138504,0.831025
"138","Thomas S. Stone Elementary School",1,"Prince George's County Public Schools",0.730994,36.8421,52.4854,1.16959,1.31579,0.438596,7.01754
"139","Tulip Grove Elementary School",8,"Prince George's County Public Schools",5.21173,40.7166,10.7492,6.51466,0,0.325733,36.4821
"140","University Park Elementary School",6,"Prince George's County Public Schools",7.5643,31.1649,34.6445,2.118,0.605144,0.453858,23.4493
"141","Valley View Elementary School",3,"Prince George's County Public Schools",2.6,77.8,17,1.2,0.2,0.2,1
"142","Waldon Woods Elementary School",4,"Prince George's County Public Schools",2.77296,81.1092,10.5719,3.29289,0,0,2.25303
"143","William Beanes Elementary School",3,"Prince George's County Public Schools",0,81.3953,12.6615,2.06718,2.58398,1.29199,0
"144","Woodmore Elementary School",7,"Prince George's County Public Schools",5.07246,84.2995,4.58937,2.89855,0.241546,0,2.89855
"145","Woodridge Elementary School",4,"Prince George's County Public Schools",0,24.5955,68.932,0.323625,3.23625,0,2.91262
"146","Southgate Elementary School",6,"Anne Arundel County Public Schools",3.32168,32.8671,9.44056,11.014,0.524476,0.699301,42.1329
"147","Glenn Dale Elementary School",7,"Prince George's County Public Schools",5.22876,80.61,7.84314,2.39651,0.217865,0,3.7037
"148","Glenridge Elementary School",4,"Prince George's County Public Schools",1.72872,49.0691,40.5585,1.19681,0.664894,0.664894,6.11702
"149","Gladys Noon Spellman Elementary School",6,"Prince George's County Public Schools",1.67286,55.0186,37.9182,1.48699,0,0.557621,3.34572
"150","Sunset Elementary School",9,"Anne Arundel County Public Schools",1.42566,5.90631,5.49898,6.10998,0.407332,0,80.6517
"151","Van Bokkelen Elementary School",4,"Anne Arundel County Public Schools",1.53173,83.5886,8.09628,2.84464,0,0.437637,3.50109
"152","Waugh Chapel Elementary School",8,"Anne Arundel County Public Schools",6.57084,17.0431,7.59754,7.18686,0.821355,0,60.7803
"153","Woodside Elementary School",5,"Anne Arundel County Public Schools",1.23839,18.2663,25.387,8.04954,0.928793,0.619195,45.5108
"154","Shipley's Choice Elementary School",10,"Anne Arundel County Public Schools",4.48878,0.997506,2.49377,1.99501,0.498753,0.249377,89.2768
"155","Freetown Elementary School",4,"Anne Arundel County Public Schools",4.02414,45.2716,9.05433,9.65795,1.00604,1.40845,29.5775
"156","Crofton Meadows Elementary School",8,"Anne Arundel County Public Schools",2.98103,12.4661,6.23306,7.31707,0.271003,0.271003,70.4607
"157","Abbottston Elementary School",2,"Baltimore City Public Schools",0,100,0,0,0,0,0
"158","Alexander Hamilton Elementary School",1,"Baltimore City Public Schools",0,96.9432,1.74672,0,0,0.436681,0.873362
"159","Arlington Elementary School",2,"Baltimore City Public Schools",0.956023,93.3078,4.58891,0.382409,0,0,0.764818
"160","Armistead Gardens Elementary School",4,"Baltimore City Public Schools",2.80899,11.6105,43.2584,0.93633,1.49813,0,39.8876
"161","Arundel Elementary/Middle School",1,"Baltimore City Public Schools",0,96.5812,2.5641,0,0.2849,0,0.569801
"162","Dr. Nathan A. Pitts-Ashburton Elementary/Middle School",2,"Baltimore City Public Schools",0.45977,98.8506,0.689655,0,0,0,0
"163","Barclay Elementary/Middle School",2,"Baltimore City Public Schools",3.10421,91.796,3.32594,0.221729,0,0,1.55211
"164","Charles Carroll Barrister Elementary School",3,"Baltimore City Public Schools",8.52459,55.082,20,0.327869,0,0,16.0656
"165","Bay-Brook Elementary School",1,"Baltimore City Public Schools",0.343053,86.2779,8.23328,0,0.343053,0,4.80274
"166","Beechfield Elementary School",2,"Baltimore City Public Schools",0.383142,95.0192,3.06513,0.127714,0,0,1.40485
"167","Belmont Elementary School",1,"Montgomery County Public Schools",7.37179,7.37179,9.9359,3.20513,0,0.320513,71.7949
"168","Belmont Elementary School",1,"Baltimore City Public Schools",0,98.3568,1.64319,0,0,0,0
"169","Belmont Elementary School",8,"Montgomery County Public Schools",7.37179,7.37179,9.9359,3.20513,0,0.320513,71.7949
"170","Belmont Elementary School",8,"Baltimore City Public Schools",0,98.3568,1.64319,0,0,0,0
"171","Mary Ann Winterling Elementary School",3,"Baltimore City Public Schools",0,99.4695,0.530504,0,0,0,0
"172","Brehms Lane Elementary School",1,"Baltimore City Public Schools",0.128866,95.8763,3.35052,0,0,0.128866,0.515464
"173","Callaway Elementary School",1,"Baltimore City Public Schools",0,95.3488,2.65781,0.332226,0,0,1.66113
"174","Calverton Elementary/Middle School",1,"Baltimore City Public Schools",0,97.6879,1.44509,0,0,0,0.867052
"175","Dr. Carter Godwin Woodson Elementary/Middle School",1,"Baltimore City Public Schools",0.58309,96.793,0.58309,0,0.291545,0.291545,1.45773
"176","Cecil Elementary School",4,"Baltimore City Public Schools",0,99.1826,0,0.27248,0,0,0.544959
"177","Cherry Hill Elementary/Middle School",1,"Baltimore City Public Schools",0,98.3099,1.40845,0,0,0,0.28169
"178","Coldstream Park Elementary School",1,"Baltimore City Public Schools",0.263852,97.3615,1.05541,0.527704,0,0,0.791557
"179","Commodore John Rogers Elementary School",2,"Baltimore City Public Schools",1.76471,74.5098,18.6275,0.196078,0.784314,0,4.11765
"180","Curtis Bay Elementary School",2,"Baltimore City Public Schools",0.924214,46.3956,5.91497,0.554529,0.369686,0.184843,45.6562
"181","Dallas F. Nicholas Sr. Elementary School",1,"Baltimore City Public Schools",0.560224,90.4762,6.72269,0,0,0.280112,1.96078
"182","Dickey Hill Elementary/Middle School",3,"Baltimore City Public Schools",0,97.019,0.813008,0,0,0,2.16802
"183","Dr. Bernard Harris Sr. Elementary School",1,"Baltimore City Public Schools",0,98.583,0.809717,0.404858,0,0,0.202429
"184","Dr. Martin Luther King Jr. Elementary School",1,"Baltimore City Public Schools",0,99.0521,0.236967,0,0,0,0.7109
"185","Dr. Rayner Browne Elementary School",1,"Baltimore City Public Schools",0,97.1774,0.403226,0,0.403226,0,2.01613
"186","Edgecombe Circle Elementary School",1,"Baltimore City Public Schools",0.651466,96.7427,0.651466,0.162866,0,0.162866,1.62866
"187","Edgewood Elementary School",3,"Baltimore City Public Schools",0,98.9761,0.341297,0,0.341297,0,0.341297
"188","Eutaw-Marshburn Elementary School",1,"Baltimore City Public Schools",0,97.8916,1.80723,0,0,0,0.301205
"189","Federal Hill Preparatory School",2,"Baltimore City Public Schools",3.38028,65.9155,3.38028,0,0,0.56338,26.7606
"190","Fort Worthington Elementary School",1,"Baltimore City Public Schools",0,99.0798,0.613497,0,0,0,0.306748
"191","Francis Scott Key Elementary/Middle School",3,"Baltimore City Public Schools",2.95455,64.5455,3.40909,0.454545,0,0,28.6364
"192","Franklin Square Elementary School",2,"Baltimore City Public Schools",0,98.5673,0,0.286533,0.286533,0,0.859599
"193","Furley Elementary School",1,"Baltimore City Public Schools",0,96.6321,2.07254,0,0.259067,0,1.03627
"194","Harford Heights Elementary School",1,"Baltimore City Public Schools",0,99.3631,0.159236,0,0.159236,0,0.318471
"195","Sligo Creek Elementary School",7,"Montgomery County Public Schools",5.9246,20.1077,11.6697,9.33573,0.359066,0,52.6032
"196","Highland Park Elementary School",6,"Prince George's County Public Schools",1.1236,95.5056,1.68539,0.561798,0.561798,0.561798,0
"197","Judge Sylvania W. Woods Sr. Elementary School",3,"Prince George's County Public Schools",0.818331,64.3208,25.8592,1.80033,1.63666,0.654664,4.90998
"198","Cesar Chavez Elementary School",3,"Prince George's County Public Schools",1.93798,41.8605,49.6124,0,3.87597,0,2.71318
"199","Piney Orchard Elementary School",9,"Anne Arundel County Public Schools",5.37125,18.0095,5.05529,10.5845,0.315956,0.789889,59.8736
"200","Dogwood Elementary School",5,"Baltimore County Public Schools",3.08943,86.6667,5.36585,2.60163,0.162602,0,2.11382
"201","Spark M. Matsunaga Elementary School",8,"Montgomery County Public Schools",37.2587,14.4788,10.6178,5.88803,0.0965251,0,31.6602
"202","Rosaryville Elementary School",4,"Prince George's County Public Schools",1.12782,88.5338,4.51128,2.25564,0.75188,0.18797,2.63158
"203","Robert R. Gray Elementary School",3,"Prince George's County Public Schools",0.735294,80.1471,16.1765,0.490196,1.22549,0,1.22549
"204","George Washington Elementary School",2,"Baltimore City Public Schools",0,86.9403,1.1194,2.98507,0,0.373134,8.58209
"205","Gilmor Elementary School",1,"Baltimore City Public Schools",0,99.1501,0.283286,0.283286,0,0,0.283286
"206","Dodge Park Elementary School",4,"Prince George's County Public Schools",1.341,77.2031,18.7739,0.766284,0.191571,0.383142,1.341
"207","Lake Arbor Elementary School",5,"Prince George's County Public Schools",1.75676,93.5135,2.2973,2.02703,0.135135,0.135135,0.135135
"208","Cora L. Rice Elementary School",3,"Prince George's County Public Schools",1.0274,92.1233,4.10959,1.36986,0.342466,0,1.0274
"209","Robert Goddard French Immersion",9,"Prince George's County Public Schools",1.54639,78.1787,3.95189,2.57732,0.343643,0.171821,13.2302
"210","Robert Goddard Montessori",7,"Prince George's County Public Schools",5.39499,74.7592,5.39499,3.27553,0.578035,0.192678,10.4046
"211","Mary Harris 'Mother' Jones Elementary School",3,"Prince George's County Public Schools",2.45902,10.4215,84.0749,0.58548,0.351288,0.117096,1.99063
"212","Berwyn Heights Elementary School",4,"Prince George's County Public Schools",5.20833,24.5833,49.5833,4.375,2.08333,0.416667,13.75
"213","Graceland Park/O'donnel Heights Elementary School",3,"Baltimore City Public Schools",1.0929,50.5464,30.6011,0,1.63934,0.819672,15.3005
"214","Grove Park Elementary School",2,"Baltimore City Public Schools",0,96.6408,2.06718,0.258398,0,0,1.03359
"215","Gwynns Falls Elementary School",3,"Baltimore City Public Schools",0,98.6726,0.663717,0.221239,0.442478,0,0
"216","Hampden Elementary/Middle School",5,"Baltimore City Public Schools",3.30579,18.4573,3.85675,1.10193,0.550964,0.275482,72.4518
"217","Harlem Park Elementary School",1,"Baltimore City Public Schools",0,99.422,0.289017,0,0,0,0.289017
"218","Highlandtown Elementary #215",2,"Baltimore City Public Schools",2.63158,48.538,41.2281,0,0.292398,0.292398,7.01754
"219","Highlandtown Elementary #237",1,"Baltimore City Public Schools",0.690846,43.5233,45.7686,0.172712,0.172712,0.172712,9.49914
"220","Hilton Elementary School",3,"Baltimore City Public Schools",0,98.6456,0.451467,0,0,0,0.902935
"221","Holabird Elementary",2,"Baltimore City Public Schools",0,43.865,28.2209,0,1.84049,0,26.0736
"222","James Mosher Elementary School",1,"Baltimore City Public Schools",0,98.615,0.554017,0,0.554017,0,0.277008
"223","John Eager Howard Elementary School",4,"Baltimore City Public Schools",0.341297,97.2696,1.36519,0,0.682594,0,0.341297
"224","John Eager Howard Elementary School",5,"Baltimore City Public Schools",0.341297,97.2696,1.36519,0,0.682594,0,0.341297
"225","John Ruhrah Elementary School",2,"Baltimore City Public Schools",2.13115,10.1639,58.8525,0.163934,0.491803,0,28.1967
